names                 |weights               |costs                 |unit_costs            
Неизвестно            |['ЭМЕРСИТ-0256']      |11.08                 |2018-12-06 09:28:16.314749
Неизвестно            |['ЭМЕРСИТ-0257']      |--.--                 |2018-12-06 09:28:16.583571
Неизвестно            |['ЭМЕРСИТ-0258']      |--.--                 |2018-12-06 09:28:16.838910
Неизвестно            |['ЭМЕРСИТ-0259']      |--.--                 |2018-12-06 09:28:17.112314
Неизвестно            |['ЭМЕРСИТ-0261']      |--.--                 |2018-12-06 09:28:17.348512
Неизвестно            |['ЭМЕРСИТ-0262']      |13.51                 |2018-12-06 09:28:17.594447
Новороссийск-         |['ЭМЕРСИТ-0264М']     |13.92                 |2018-12-06 09:28:17.861170
Неизвестно            |['ЭМЕРСИТ-0265']      |--.--                 |2018-12-06 09:28:18.118421
Новороссийск-         |['ЭМЕРСИТ-0265М']     |13.94                 |2018-12-06 09:28:18.398931
Неизвестно            |['ЭМЕРСИТ-0266']      |--.--                 |2018-12-06 09:28:18.670072
Ростов                |['ЭМЕРСИТ-0267']      |12.48                 |2018-12-06 09:28:18.927622
Ростов                |['ЭМЕРСИТ-0268']      |11.95                 |2018-12-06 09:28:19.183318
Ростов                |['ЭМЕРСИТ-0269']      |11.81                 |2018-12-06 09:28:19.487717
Ростов                |['ЭМЕРСИТ-0270']      |12.07                 |2018-12-06 09:28:19.757540
Ростов                |['ЭМЕРСИТ-0271']      |12.06                 |2018-12-06 09:28:20.045302
Геленджик-            |['ЭМЕРСИТ-0271М']     |11.36                 |2018-12-06 09:28:20.299646
Неизвестно            |['ЭМЕРСИТ-0272']      |13.51                 |2018-12-06 09:28:20.541425
Неизвестно            |['ЭМЕРСИТ-0272М']     |12.98                 |2018-12-06 09:28:20.815766
Неизвестно            |['ЭМЕРСИТ-0273']      |12.65                 |2018-12-06 09:28:21.071436
Неизвестно            |['ЭМЕРСИТ-0273М']     |12.78                 |2018-12-06 09:28:21.371903
Неизвестно            |['ЭМЕРСИТ-0274']      |13.64                 |2018-12-06 09:28:21.643258
Неизвестно            |['ЭМЕРСИТ-0275']      |13.62                 |2018-12-06 09:28:21.899748
Северский             |['ЭМЕРСИТ-0275М']     |11.42                 |2018-12-06 09:28:22.161284
Неизвестно            |['ЭМЕРСИТ-0276']      |12.74                 |2018-12-06 09:28:22.404708
Неизвестно            |['ЭМЕРСИТ-0277']      |13.57                 |2018-12-06 09:28:22.671064
Северский             |['ЭМЕРСИТ-0277М']     |--.--                 |2018-12-06 09:28:22.922565
Неизвестно            |['ЭМЕРСИТ-0278']      |--.--                 |2018-12-06 09:28:23.152747
Неизвестно            |['ЭМЕРСИТ-0279']      |--.--                 |2018-12-06 09:28:23.417360
Северский             |['ЭМЕРСИТ-0279М']     |--.--                 |2018-12-06 09:28:23.666597
Неизвестно            |['ЭМЕРСИТ-0281']      |--.--                 |2018-12-06 09:28:23.937234
Туапсинский           |['ЭМЕРСИТ-0285М']     |11.61                 |2018-12-06 09:28:24.205162
Туапсинский           |['ЭМЕРСИТ-0286М']     |12.55                 |2018-12-06 09:28:24.498533
Туапсинский           |['ЭМЕРСИТ-0287М']     |12.43                 |2018-12-06 09:28:24.751407
Туапсинский           |['ЭМЕРСИТ-0289М']     |11.73                 |2018-12-06 09:28:25.037434
Неизвестно            |['ЭМЕРСИТ-1001']      |11.65                 |2018-12-06 09:28:25.321508
Неизвестно            |['ЭМЕРСИТ-1002']      |12.10                 |2018-12-06 09:28:25.593049
Неизвестно            |['ЭМЕРСИТ-1003']      |13.49                 |2018-12-06 09:28:25.860073
Неизвестно            |['ЭМЕРСИТ-1006']      |--.--                 |2018-12-06 09:28:26.116028
Неизвестно            |['ЭМЕРСИТ-1024']      |--.--                 |2018-12-06 09:28:26.381498
Неизвестно            |['ЭМЕРСИТ-1028']      |10.43                 |2018-12-06 09:28:26.639916
